XYDATA,aunps_blanked.jws,aunps_blanked.z_norm,aunps_blanked.max_norm
565.9,0.294641,0.7868823761105195,0.8344950251644826
566,0.29437,0.7858940320063021,0.8337274872053406
566.1,0.293971,0.7844388685465871,0.8325974220920649
566.2,0.293623,0.7831697034238283,0.8316118013917645
566.3,0.293288,0.781947949641862,0.8306629998555556
566.4,0.292952,0.780722548833681,0.8297113660759551
566.5,0.292621,0.7795153831565742,0.8287738935133131
566.6,0.292331,0.778457745554275,0.8279525429297293
566.7,0.292042,0.7774037549781908,0.8271340245895372
566.8,0.291688,0.7761127076981429,0.8261314104288867
566.9,0.291365,0.7749347182307545,0.8252165958133778
567,0.291071,0.7738624925235963,0.8243839162562275
567.1,0.290733,0.7726297976629857,0.8234266179898437
567.2,0.290432,0.7715320427723236,0.8225741127289516
567.3,0.290137,0.7704561700389502,0.8217386009284093
567.4,0.289786,0.7691760638375468,0.8207444834979339
567.5,0.289462,0.7679944273439437,0.8198268366390334
567.6,0.28913,0.7667836146406221,0.8188865318329996
567.7,0.288827,0.7656785656975302,0.8180283620853243
567.8,0.288536,0.7646172810690164,0.8172041792583489
567.9,0.288251,0.7635778785977912,0.8163969898917234
568,0.287913,0.7623451837371806,0.8154396916253395
568.1,0.287579,0.7611270769814292,0.8144937223325224
568.2,0.287261,0.7599673226451151,0.813593068933972
568.3,0.286899,0.7586470991553488,0.8125677968261882
568.4,0.286585,0.7575019329238938,0.8116784724012043
568.5,0.286263,0.7563275904827204,0.8107664900290872
568.6,0.285902,0.7550110140191687,0.809744050164695
568.7,0.285547,0.7537163197129061,0.8087386037606529
568.8,0.285236,0.7525820945600956,0.807857776065844
568.9,0.284927,0.7514551634597149,0.8069826128578186
569,0.284607,0.7502881150709712,0.8060762949724848
569.1,0.28432,0.7492414185473165,0.8052634411190761
569.2,0.283998,0.748067076106143,0.8043514587469589
569.3,0.283696,0.7469656741892661,0.8034961212426752
569.4,0.283413,0.7459335657704709,0.8026945963628331
569.5,0.283088,0.7447482822506528,0.8017741172605409
569.6,0.282731,0.7434462938919605,0.8007630063697154
569.7,0.282367,0.7421187763497643,0.7997320697751482
569.8,0.281986,0.7407292593619164,0.7986529850429227
569.9,0.281631,0.7394345650556536,0.7976475386388806
570,0.281274,0.7381325766969614,0.7966364277480551
570.1,0.280919,0.7368378823906985,0.7956309813440128
570.2,0.280529,0.735415542166917,0.7945264064212622
570.3,0.2802,0.7342156705422399,0.7935945983454035
570.4,0.279884,0.7330632102583554,0.7926996094336364
570.5,0.279554,0.7318596916074633,0.791764969114386
570.6,0.279275,0.7308421712935272,0.7909747732081105
570.7,0.278974,0.7297444164028651,0.7901222679472184
570.8,0.278628,0.7284825453325358,0.7891423117337012
570.9,0.278289,0.7272462034457103,0.7881821812239257
